,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
0,SUZUKI,ALTO,2015,800.0,Manual,Petrol,110000.0,Kandy,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Available,34.25
1,SUZUKI,ALTO,2012,800.0,Manual,Petrol,143000.0,Kegalle,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Not_Available,27.1
2,SUZUKI,ALTO,2018,660.0,Automatic,Petrol,77000.0,Matara,2025-02-05,No Leasing,USED,Available,Available,Available,Available,43.57461240310077
3,SUZUKI,ALTO,2016,800.0,Manual,Petrol,99000.0,Ratnapura,2025-02-05,No Leasing,USED,Available,Available,Available,Available,33.75
4,SUZUKI,ALTO,2016,800.0,Manual,Petrol,99000.0,Homagama,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Available,34.41428571428572
5,SUZUKI,ALTO,2015,800.0,Manual,Petrol,110000.0,Embilipitiya,2025-02-05,No Leasing,USED,Available,Available,Available,Available,33.02984496124031
6,SUZUKI,ALTO,2014,800.0,Manual,Petrol,121000.0,Kurunegala,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Available,31.75
7,SUZUKI,ALTO,2016,650.0,Automatic,Petrol,99000.0,Kandy,2025-02-05,No Leasing,USED,Available,Available,Available,Available,34.41428571428572
8,SUZUKI,ALTO,2015,796.0,Manual,Petrol,110000.0,Colombo,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Not_Available,33.55
9,SUZUKI,ALTO,2006,800.0,Manual,Petrol,209000.0,Malabe,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Not_Available,23.5
10,SUZUKI,ALTO,2015,800.0,Manual,Petrol,110000.0,Gampaha,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Not_Available,33.75
11,SUZUKI,ALTO,2017,650.0,Automatic,Petrol,88000.0,Colombo,2025-02-05,No Leasing,USED,Available,Available,Available,Available,35.95
12,SUZUKI,ALTO,2016,800.0,Manual,Petrol,99000.0,Wennappuwa,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Available,35.9
13,SUZUKI,ALTO,2015,800.0,Manual,Petrol,110000.0,Gampaha,2025-02-05,No Leasing,USED,Available,Available,Available,Available,32.9
14,SUZUKI,ALTO,2015,800.0,Manual,Petrol,110000.0,Colombo,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Available,34.75
15,SUZUKI,ALTO,2015,800.0,Manual,Petrol,110000.0,Malabe,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Available,33.45
16,SUZUKI,ALTO,2000,650.0,Automatic,Petrol,275000.0,Panadura,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Not_Available,29.95
17,SUZUKI,ALTO,2011,800.0,Manual,Petrol,154000.0,Mawanella,2025-02-05,No Leasing,USED,Available,Available,Available,Available,26.2945945945946
18,SUZUKI,ALTO,2014,800.0,Manual,Petrol,121000.0,Dompe,2025-02-04,No Leasing,USED,Available,Available,Not_Available,Available,31.25
19,SUZUKI,ALTO,2008,800.0,Manual,Petrol,187000.0,Kandy,2025-02-04,No Leasing,USED,Available,Available,Not_Available,Not_Available,21.9
20,SUZUKI,ALTO,2016,800.0,Manual,Petrol,99000.0,Gampaha,2025-02-04,No Leasing,USED,Available,Available,Available,Available,34.41428571428572
21,SUZUKI,ALTO,2015,800.0,Manual,Petrol,110000.0,Kandy,2025-02-04,No Leasing,USED,Available,Available,Available,Not_Available,31.95
22,SUZUKI,ALTO,2007,800.0,Manual,Petrol,198000.0,Horana,2025-02-04,No Leasing,USED,Available,Available,Not_Available,Not_Available,23.95
23,SUZUKI,ALTO,2010,800.0,Manual,Petrol,165000.0,Kurunegala,2025-02-04,No Leasing,USED,Available,Available,Not_Available,Not_Available,26.9
24,SUZUKI,ALTO,2015,800.0,Manual,Petrol,110000.0,Anuradapura,2025-02-04,No Leasing,USED,Available,Available,Not_Available,Available,35.9
25,SUZUKI,ALTO,2015,800.0,Manual,Petrol,110000.0,Gampaha,2025-02-04,No Leasing,USED,Available,Available,Not_Available,Not_Available,33.5
26,SUZUKI,ALTO,2015,800.0,Manual,Petrol,110000.0,Welimada,2025-02-04,No Leasing,USED,Available,Available,Available,Not_Available,33.8
27,SUZUKI,ALTO,2015,800.0,Manual,Petrol,110000.0,Colombo,2025-02-04,No Leasing,USED,Available,Available,Available,Available,32.75
28,SUZUKI,ALTO,2015,796.0,Manual,Petrol,110000.0,Gampaha,2025-02-04,No Leasing,USED,Available,Available,Not_Available,Available,33.75
29,SUZUKI,ALTO,2011,800.0,Manual,Petrol,154000.0,Gampaha,2025-02-04,No Leasing,USED,Available,Available,Available,Available,27.25
30,SUZUKI,ALTO,2015,800.0,Manual,Petrol,110000.0,Kandy,2025-02-04,No Leasing,USED,Available,Available,Not_Available,Available,33.75
31,SUZUKI,ALTO,2013,800.0,Manual,Petrol,132000.0,Negombo,2025-02-04,Ongoing Lease,USED,Available,Available,Not_Available,Available,29.0
32,SUZUKI,ALTO,2017,800.0,Manual,Petrol,88000.0,Malabe,2025-02-04,No Leasing,USED,Available,Available,Not_Available,Not_Available,35.9
33,SUZUKI,ALTO,2013,800.0,Manual,Petrol,132000.0,Kadawatha,2025-02-04,No Leasing,USED,Available,Available,Available,Available,30.2
34,SUZUKI,ALTO,2016,800.0,Manual,Petrol,99000.0,Embilipitiya,2025-02-04,No Leasing,USED,Available,Available,Not_Available,Not_Available,34.41428571428572
35,SUZUKI,ALTO,2016,800.0,Manual,Petrol,99000.0,Embilipitiya,2025-02-04,No Leasing,USED,Available,Available,Not_Available,Available,34.95
36,SUZUKI,ALTO,2015,800.0,Manual,Petrol,110000.0,Kiribathgoda,2025-02-04,No Leasing,USED,Available,Available,Not_Available,Available,33.5
